Cluster,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Baseline_WLC,Existing_WLC,Baseline_Check_Delta,Baseline_Class,MC_Mean_WLC,MC_SD,MC_CV_Pct,MC_Min_WLC,MC_Max_WLC,MC_Mean_Delta_From_Baseline,MC_Abs_Mean_Delta_From_Baseline,MC_Mean_Class,MC_Mean_Class_Changed,Baseline_Class_Stability_Count,Baseline_Class_Stability_Pct,Count_Very_Low,Pct_Very_Low,Count_Low,Pct_Low,Count_Moderate,Pct_Moderate,Count_High,Pct_High,Count_Very_High,Pct_Very_High
1,SITE_0001,Ahtopol Fortress,Soil Erosion,0.9119060157463934,2.187942650592102,2.187942650592102,0.0,Low,2.19008108064603,0.03656482221019897,1.669564772433589,2.0834240355403524,2.2913049856479253,0.0021384300539279977,0.0021384300539279977,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0002,Kozareva Mogila,,1.0,3.0296793292287827,3.029679329228782,8.881784197001252e-16,Low,3.0288872097564634,0.05200125395317852,1.7168435254266092,2.9031666240255767,3.1544047871019383,-0.0007921194723192748,0.0007921194723192748,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0003,Poros Fortress,Soil Erosion,0.9119060157463934,2.322316885660034,2.322316885660033,8.881784197001252e-16,Low,2.3241764139267604,0.03768384325334052,1.621384806572089,2.2073569616545528,2.434081884450138,0.001859528266726418,0.001859528266726418,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0004,Cape Akra settlement,Soil Erosion; Landslide,0.7880109830335105,1.7458169127575842,1.745816912757584,2.220446049250313e-16,Very Low,1.7459536368746045,0.03209259910650986,1.8381129045303954,1.6682592694107479,1.8224339502179692,0.00013672411702025933,0.00013672411702025933,Very Low,False,1000,100.0,1000,100.0,0,0.0,0,0.0,0,0.0,0,0.0
1,SITE_0005,Deultum,Soil Erosion,0.9119060157463934,2.4233489943891118,2.423348994389111,8.881784197001252e-16,Low,2.422404947120174,0.05701370318246664,2.353599188700725,2.2648108761110377,2.574235234813434,-0.0009440472689377088,0.0009440472689377088,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0006,Gornoto Gradishte,,1.0,2.474148478997224,2.474148478997223,1.3322676295501878e-15,Low,2.473390086659986,0.051897442983531494,2.098231219710786,2.330301424003533,2.6139046658275213,-0.0007583923372380674,0.0007583923372380674,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0007,Antimovo Fortress,,1.0,4.374991710713659,4.37499171071366,-8.881784197001252e-16,Moderate,4.37662583318027,0.06039675866580857,1.3799845124508012,4.209939050208632,4.53904740574469,0.0016341224666112097,0.0016341224666112097,Moderate,False,1000,100.0,0,0.0,0,0.0,1000,100.0,0,0.0,0,0.0
1,SITE_0008,Poros Fortress wall,Soil Erosion; Landslide,0.7880109830335105,1.979068750532838,1.979068750532837,8.881784197001252e-16,Very Low,1.9789175975300242,0.034730217720300556,1.755010808112925,1.878901948635503,2.076033603097441,-0.0001511530028137642,0.0001511530028137642,Very Low,False,721,72.1,721,72.1,279,27.9,0,0.0,0,0.0,0,0.0
1,SITE_0009,Dolmen Dragon house,,1.0,2.7619516339104413,2.761951633910441,4.440892098500626e-16,Low,2.7625313351359044,0.04058646433966446,1.4691766143412013,2.64781140787522,2.86907030795951,0.0005797012254631362,0.0005797012254631362,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0010,Urdoviza Fortress,Soil Erosion,0.9119060157463934,2.4596702860578583,2.459670286057857,1.3322676295501878e-15,Low,2.463044217509184,0.04803602422119729,1.9502704774733983,2.3309306721494423,2.588695048803366,0.0033739314513256957,0.0033739314513256957,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0011,Gradishte Fortress II,,1.0,3.518960035887734,3.518960035887733,8.881784197001252e-16,Low,3.523220323034517,0.048517175733886184,1.3770690245138795,3.3947463081952116,3.647023580965932,0.0042602871467831704,0.0042602871467831704,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0013,Necropolis City of the dead,,1.0,3.3490714915731012,3.3490714915731,1.3322676295501878e-15,Low,3.350133942085227,0.059470474875721234,1.7751670799975527,3.1922309823282666,3.508743243315645,0.0010624505121259453,0.0010624505121259453,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0014,Golyamoto Kale,,1.0,2.4232139025960096,2.42321390259601,-4.440892098500626e-16,Low,2.4235182354130487,0.051616683775909035,2.1298244437229013,2.2964910541655663,2.549080511277028,0.0003043328170391213,0.0003043328170391213,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0015,Church of Christ Pantokrator,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0016,Church of St. John Aliturgetos,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0017,Church of St. John the Baptist,Soil Erosion; Landslide,0.7880109830335105,2.1764324746506647,2.176432474650664,8.881784197001252e-16,Low,2.1762276107703253,0.03231229295746328,1.4847846244366696,2.0858658953564992,2.2548152670033934,-0.00020486388033935654,0.00020486388033935654,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
