Cluster,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Baseline_WLC,Existing_WLC,Baseline_Check_Delta,Baseline_Class,MC_Mean_WLC,MC_SD,MC_CV_Pct,MC_Min_WLC,MC_Max_WLC,MC_Mean_Delta_From_Baseline,MC_Abs_Mean_Delta_From_Baseline,MC_Mean_Class,MC_Mean_Class_Changed,Baseline_Class_Stability_Count,Baseline_Class_Stability_Pct,Count_Very_Low,Pct_Very_Low,Count_Low,Pct_Low,Count_Moderate,Pct_Moderate,Count_High,Pct_High,Count_Very_High,Pct_Very_High
3,SITE_0168,Ancient Theatre of Philippopolis,Soil Erosion,0.8921580754613496,3.5458340473468195,3.54583404734682,-4.440892098500626e-16,Low,3.5491270653261493,0.1097614835152765,3.0926332445972853,3.2694022960916302,3.816108742813583,0.003293017979329793,0.003293017979329793,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
3,SITE_0174,Inner Fortress wall of Philippopolis,Soil Erosion,0.8921580754613496,3.6314005777415015,3.631400577741501,4.440892098500626e-16,Low,3.634962377613466,0.11087891830408317,3.050345692350211,3.3561233520505307,3.9053187928911726,0.0035617998719645882,0.0035617998719645882,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0148,Bona Mansio,,1.0,3.5270356428477005,3.5270356428477,4.440892098500626e-16,Low,3.5263241453344385,0.10617355446982579,3.0108847086647,3.2773318898989015,3.7997427776381008,-0.0007114975132620494,0.0007114975132620494,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0141,Peristera Fortress,Soil Erosion,0.9119060157463934,2.93346213898177,2.93346213898177,0.0,Low,2.9328928855676057,0.08706304424994359,2.9685040554453863,2.7263403508816544,3.163821851400727,-0.0005692534141643613,0.0005692534141643613,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0245,Kaleto Fortress Bolyarovo,,1.0,3.5986377397662532,3.598637739766253,4.440892098500626e-16,Low,3.598170477887566,0.10372214552562996,2.882635666182324,3.347054590231837,3.8325661414824728,-0.00046726187868717517,0.00046726187868717517,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0155,Stanimaka Fortress ruins,Soil Erosion,0.9119060157463934,3.984051389176048,3.984051389176047,8.881784197001252e-16,Low,3.984248984234026,0.11241017210016215,2.821364140267782,3.720891810295295,4.2768911905268,0.00019759505797800614,0.00019759505797800614,Low,False,542,54.2,0,0.0,542,54.2,458,45.8,0,0.0,0,0.0
1,SITE_0247,Roman residence,,1.0,3.7032236113549137,3.703223611354913,8.881784197001252e-16,Low,3.702274992045633,0.1035819179959017,2.797791039791703,3.4399547209938897,3.9716290172067965,-0.0009486193092809181,0.0009486193092809181,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0145,Emporion Pistiros,,1.0,3.7721089894872346,3.772108989487233,1.7763568394002505e-15,Low,3.7708293266087773,0.10497997435302783,2.784002278019821,3.5012561001423412,4.038064450112708,-0.0012796628784572661,0.0012796628784572661,Low,False,992,99.2,0,0.0,992,99.2,8,0.8,0,0.0,0,0.0
1,SITE_0248,Malkoto Kale Fortress,,1.0,3.846427805192019,3.846427805192019,0.0,Low,3.847036470826098,0.10323336755181807,2.6834517513594074,3.5929821083311326,4.098161022554056,0.0006086656340786867,0.0006086656340786867,Low,False,916,91.6,0,0.0,916,91.6,84,8.4,0,0.0,0,0.0
3,SITE_0158,Diocletionopolis,Soil Erosion,0.8921580754613496,1.9883785639543277,1.988378563954328,-4.440892098500626e-16,Very Low,1.9896185842196674,0.05177620663428098,2.6023182053553104,1.8607665522026704,2.11233737414854,0.0012400202653397585,0.0012400202653397585,Very Low,False,584,58.4,584,58.4,416,41.6,0,0.0,0,0.0,0,0.0
3,SITE_0163,Hisarya Roman Baths,Soil Erosion,0.8921580754613496,1.9883785639543277,1.988378563954328,-4.440892098500626e-16,Very Low,1.9896185842196674,0.05177620663428098,2.6023182053553104,1.8607665522026704,2.11233737414854,0.0012400202653397585,0.0012400202653397585,Very Low,False,584,58.4,584,58.4,416,41.6,0,0.0,0,0.0,0,0.0
1,SITE_0162,Hisarya Fortress walls,Soil Erosion,0.9119060157463934,2.2889747593211798,2.28897475932118,-4.440892098500626e-16,Low,2.2885952570450705,0.05804202949996239,2.5361421737325283,2.1508935672544363,2.442547900933818,-0.0003795022761092781,0.0003795022761092781,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0167,Red Church,,1.0,4.042553403591808,4.042553403591808,0.0,Moderate,4.041546012893528,0.10062585834670702,2.4897862853889507,3.800647847070476,4.309735803990374,-0.0010073906982794867,0.0010073906982794867,Moderate,False,643,64.3,0,0.0,357,35.7,643,64.3,0,0.0,0,0.0
2,SITE_0102,Dolmen Sakartsi,,1.0,3.825902217245897,3.825902217245897,0.0,Low,3.8275475830951664,0.09204562110917797,2.404819773259221,3.5882810565333094,4.054089025389297,0.0016453658492694423,0.0016453658492694423,Low,False,978,97.8,0,0.0,978,97.8,22,2.2,0,0.0,0,0.0
1,SITE_0005,Deultum,Soil Erosion,0.9119060157463934,2.4233489943891118,2.423348994389111,8.881784197001252e-16,Low,2.422404947120174,0.05701370318246664,2.353599188700725,2.2648108761110377,2.574235234813434,-0.0009440472689377088,0.0009440472689377088,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0140,Church of St. Dimitar,Soil Erosion,0.9119060157463934,4.765242912718726,4.765242912718726,0.0,Moderate,4.767616685733827,0.10789003434589298,2.2629762721641,4.502923520695987,5.057582941860674,0.0023737730151012215,0.0023737730151012215,Moderate,False,1000,100.0,0,0.0,0,0.0,1000,100.0,0,0.0,0,0.0
1,SITE_0153,Church of St. George Metokha,Soil Erosion,0.9119060157463934,4.695076629854868,4.695076629854867,8.881784197001252e-16,Moderate,4.695796548791769,0.10571413808420049,2.2512503892742286,4.443135037631472,4.97416080191738,0.0007199189369009318,0.0007199189369009318,Moderate,False,1000,100.0,0,0.0,0,0.0,1000,100.0,0,0.0,0,0.0
1,SITE_0043,Fortification of St. John Monastery,Soil Erosion; Landslide,0.7880109830335105,3.037663598436825,3.037663598436825,0.0,Low,3.0367755585617666,0.06610865631479822,2.176935866347253,2.8749327341280435,3.1966620426312686,-0.0008880398750585883,0.0008880398750585883,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0239,Bereket Mound,,1.0,3.5327430061178187,3.532743006117818,4.440892098500626e-16,Low,3.529865901936235,0.07531588816411702,2.133675619881312,3.302392863313347,3.75293295288266,-0.0028771041815836007,0.0028771041815836007,Low,False,1000,100.0,0,0.0,1000,100.0,0,0.0,0,0.0,0,0.0
1,SITE_0183,Spas Bair hill,,1.0,4.290935529940036,4.290935529940037,-8.881784197001252e-16,Moderate,4.290135520119996,0.09145486991703662,2.131747808154988,4.067583684162608,4.5364654885424915,-0.0008000098200398043,0.0008000098200398043,Moderate,False,1000,100.0,0,0.0,0,0.0,1000,100.0,0,0.0,0,0.0
