Site_ID,Cluster_3,Site,Region,Location,Neolithic,Neolithic_class,Chalcolithic,Chalcolithic_class,Bronze_Age,Bronze_class,Iron_Age,Iron_class,Roman,Roman_class,Ear_Byz,Ear_Byz_class,F1st_Bul_Emp,F1st_Bul_Emp_class,F2nd_Bul_Emp,F2nd_Bul_Emp_class,Material_general,Exposure_class,Exposure_tx,Int_Status,Nat_Status,DEM_,Slope_,Aspect_cos_,Aspect_sin_,FL_Dist,FL_Depth,rusle_cluster,rusle_log,Rusle_MTH,FWI,Final_FWI,FWI_MTH,FWI_dist_m,FWI_DIST,ELSUS,ELSUS_MTH,ELSUS_DIST,PGA,Lithology,CLC_code,CLC_text,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,GI_Status,SUM_Changed_Num,WLC_RISK,RISK_CLASS
SITE_0011,1,Gradishte Fortress II,Burgas,Lozarevo,0,,0,,0,,0,,0,,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,232.1141052,2.6483779,-0.7880967,-0.4491974,16769.5859375,0.0000000,4.8678617,1.769490299631969,Direct,14.000000000000000,15.266666666666667,Direct,-1.000000000000000,0.000000000000000,5,Direct,33.747414759592651,0.124779590000000,Undifferentiated Sediment,211,Non-irrigated arable land,3,1,3,9,5,1,Not significant,0.000000000000000,3.518960035887733,Low
SITE_0012,2,Mishkova Niva,Burgas,Malko Tarnovo,0,,0,,0,,1,Sanctuary,1,Temple,1,Church,0,,0,,Mortared mixed masonry (stone + brick),1,Exposed,,,452.1298218,8.7855549,-0.6569610,-0.2613707,12214.1171875,0.0000000,0.0984250,0.093877322850218,Direct,16.000000000000000,11.566666666666666,Direct,-1.000000000000000,0.000000000000000,3,Near≤400m,356.690644938250045,0.076049015000000,"Granitoid, Granite, Leucogranite, Granodiorite",313,Mixed forest,1,1,3,5,1,3,99% cold spot,0.000000000000000,3.165557606700695,Low
SITE_0013,1,Necropolis City of the dead,Burgas,Malko Tarnovo,0,,0,,0,,1,Thracian mound,1,Necropolis,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,,460.0069580,2.1731396,0.8356714,0.0959225,10448.6083984,0.0000000,0.0780926,0.075193414599843,Direct,16.000000000000000,11.566666666666666,Direct,-1.000000000000000,0.000000000000000,4,Direct,84.705441316069610,0.076049015000000,Metamorphic Complex,311,Broad-leaved forest,1,1,3,7,1,7,99% cold spot,0.000000000000000,3.349071491573100,Low
SITE_0014,1,Golyamoto Kale,Burgas,Mladezhko,0,,0,,0,,1,Fortified settlement,0,,1,Fortress,0,,0,,Mortared stone masonry,1,Exposed,,Architectural-construction,298.1135559,2.8812644,0.2212206,0.6105732,19039.8906250,0.0000000,0.1134929,0.107501816802951,Direct,27.000000000000000,24.866666666666667,Direct,-1.000000000000000,0.000000000000000,2,Direct,62.213542669384466,0.077611760000000,Metamorphic Complex,311,Broad-leaved forest,1,1,5,3,1,1,99% cold spot,0.000000000000000,2.423213902596010,Low
SITE_0015,1,Church of Christ Pantokrator,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,13.9727392,4.5584440,0.6099613,0.0451163,26339.9082031,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,976.771408278053286,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0016,1,Church of St. John Aliturgetos,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,11.0337734,8.8797340,-0.9198372,-0.1699122,26374.2539062,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1006.726353753347098,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0017,1,Church of St. John the Baptist,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,Architectural-Historical Reserve,13.3001232,8.5474253,0.7853533,0.1562800,26394.6679688,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1028.979549307034631,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0018,1,Church of St. Paraskeva,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,,18.4951401,5.2667561,0.8692145,0.2835240,26509.4980469,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1141.299448944074129,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0019,1,Church of St. Stefan,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,1,Church,0,,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,,16.9257011,7.8761725,-0.1016807,-0.9399914,26351.2265625,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,982.424452937844762,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
SITE_0020,1,Church of St. Theodore,Burgas,Nessebar,0,,0,,0,,0,,0,,0,,0,,1,Church,Mortared mixed masonry (stone + brick),1,Exposed,UNESCO World Heritage,,21.4392338,5.4132886,-0.8862579,-0.3854060,26782.9433594,0.0000000,,0.839005624828902,Urban excl.,10.000000000000000,8.699999999999999,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,1404.596310065388025,0.095591630000000,,112,Discontinuous urban fabric,1,1,3,,,3,99% cold spot,0.000000000000000,2.176432474650664,Low
